age,structure_name,gene,rpkm
12 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,25.517648
12 pcw,ventrolateral prefrontal cortex,FYN,33.312573
12 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,26.660401
12 pcw,posteroventral (inferior) parietal cortex,FYN,27.257892
12 pcw,orbital frontal cortex,FYN,35.111098
12 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,28.5006
12 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,21.21049
12 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,22.479025
12 pcw,primary auditory cortex (core),FYN,22.640983
12 pcw,cerebellum,FYN,42.396981
12 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,20.628294
12 pcw,posteroventral (inferior) parietal cortex,FYN,22.096426
12 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,21.426219
12 pcw,dorsal thalamus,FYN,36.532602
12 pcw,hippocampus (hippocampal formation),FYN,28.414542
12 pcw,dorsolateral prefrontal cortex,FYN,19.179485
12 pcw,orbital frontal cortex,FYN,20.754023
12 pcw,"primary motor cortex (area M1, area 4)",FYN,27.452167
12 pcw,ventrolateral prefrontal cortex,FYN,22.945715
12 pcw,amygdaloid complex,FYN,33.063583
12 pcw,striatum,FYN,20.88759
12 pcw,amygdaloid complex,FYN,33.733385
12 pcw,"primary motor cortex (area M1, area 4)",FYN,29.29787
12 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,21.418452
12 pcw,ventrolateral prefrontal cortex,FYN,25.130564
12 pcw,striatum,FYN,40.86217
12 pcw,cerebellar cortex,FYN,46.148671
12 pcw,dorsal thalamus,FYN,36.555387
12 pcw,dorsolateral prefrontal cortex,FYN,30.995981
12 pcw,orbital frontal cortex,FYN,34.983108
12 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,25.863706
12 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,28.03392
12 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,35.502989
12 pcw,hippocampus (hippocampal formation),FYN,32.92303
12 pcw,posteroventral (inferior) parietal cortex,FYN,20.419168
12 pcw,primary auditory cortex (core),FYN,25.944572
13 pcw,striatum,FYN,41.259324
13 pcw,"primary motor cortex (area M1, area 4)",FYN,31.043516
13 pcw,amygdaloid complex,FYN,42.498589
13 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,27.95246
13 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,29.455621
13 pcw,primary auditory cortex (core),FYN,33.272748
13 pcw,hippocampus (hippocampal formation),FYN,46.665197
13 pcw,ventrolateral prefrontal cortex,FYN,33.306359
13 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,33.107172
13 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,32.342502
13 pcw,orbital frontal cortex,FYN,34.248043
13 pcw,posteroventral (inferior) parietal cortex,FYN,29.063657
13 pcw,dorsolateral prefrontal cortex,FYN,35.338838
13 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,38.380768
13 pcw,striatum,FYN,32.167575
13 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,32.908755
13 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,26.39214
13 pcw,amygdaloid complex,FYN,32.442595
13 pcw,posteroventral (inferior) parietal cortex,FYN,30.688779
13 pcw,cerebellum,FYN,45.483095
13 pcw,dorsolateral prefrontal cortex,FYN,35.096493
13 pcw,orbital frontal cortex,FYN,34.912494
13 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,23.452125
13 pcw,primary auditory cortex (core),FYN,29.276977
13 pcw,hippocampus (hippocampal formation),FYN,38.998647
13 pcw,"primary motor cortex (area M1, area 4)",FYN,32.706591
13 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,21.215877
13 pcw,mediodorsal nucleus of thalamus,FYN,48.193512
13 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,34.314735
13 pcw,ventrolateral prefrontal cortex,FYN,34.092255
13 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,24.947483
13 pcw,dorsolateral prefrontal cortex,FYN,29.314445
13 pcw,cerebellum,FYN,45.868896
13 pcw,amygdaloid complex,FYN,30.370236
13 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,18.46934
13 pcw,hippocampus (hippocampal formation),FYN,30.67661
13 pcw,posteroventral (inferior) parietal cortex,FYN,24.443245
13 pcw,primary auditory cortex (core),FYN,21.949597
13 pcw,ventrolateral prefrontal cortex,FYN,22.532919
13 pcw,striatum,FYN,24.365804
13 pcw,orbital frontal cortex,FYN,19.89031
13 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,21.174936
13 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,21.918109
13 pcw,"primary motor cortex (area M1, area 4)",FYN,27.022846
16 pcw,ventrolateral prefrontal cortex,FYN,30.619535
16 pcw,orbital frontal cortex,FYN,25.462765
16 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,30.977996
16 pcw,dorsolateral prefrontal cortex,FYN,37.429453
16 pcw,posteroventral (inferior) parietal cortex,FYN,26.075747
16 pcw,primary auditory cortex (core),FYN,23.254913
16 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,39.532793
16 pcw,striatum,FYN,30.37229
16 pcw,mediodorsal nucleus of thalamus,FYN,41.80398
16 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,27.856382
16 pcw,ventrolateral prefrontal cortex,FYN,26.108374
16 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,25.74595
16 pcw,posteroventral (inferior) parietal cortex,FYN,24.680473
16 pcw,primary auditory cortex (core),FYN,22.368122
16 pcw,mediodorsal nucleus of thalamus,FYN,40.319266
16 pcw,amygdaloid complex,FYN,48.157794
16 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,27.710445
16 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,28.65405
16 pcw,cerebellar cortex,FYN,31.034164
16 pcw,hippocampus (hippocampal formation),FYN,38.428278
16 pcw,striatum,FYN,37.139109
16 pcw,orbital frontal cortex,FYN,34.346321
16 pcw,dorsolateral prefrontal cortex,FYN,33.890427
16 pcw,"primary motor cortex (area M1, area 4)",FYN,29.341049
16 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,33.736247
16 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,25.795426
16 pcw,hippocampus (hippocampal formation),FYN,40.597283
16 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,29.131413
16 pcw,dorsolateral prefrontal cortex,FYN,28.143275
16 pcw,posteroventral (inferior) parietal cortex,FYN,30.433894
16 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,28.937574
16 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,20.317478
16 pcw,mediodorsal nucleus of thalamus,FYN,36.179651
16 pcw,striatum,FYN,43.233127
16 pcw,primary motor-sensory cortex (samples),FYN,35.552773
16 pcw,primary auditory cortex (core),FYN,25.83738
16 pcw,ventrolateral prefrontal cortex,FYN,36.199895
16 pcw,amygdaloid complex,FYN,43.154237
16 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,34.803611
17 pcw,striatum,FYN,35.543346
17 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,24.078815
17 pcw,mediodorsal nucleus of thalamus,FYN,42.584957
17 pcw,primary auditory cortex (core),FYN,26.041784
17 pcw,hippocampus (hippocampal formation),FYN,38.972058
17 pcw,dorsolateral prefrontal cortex,FYN,35.567873
17 pcw,ventrolateral prefrontal cortex,FYN,35.640825
17 pcw,posteroventral (inferior) parietal cortex,FYN,25.66616
17 pcw,primary motor-sensory cortex (samples),FYN,29.319394
17 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,31.835778
17 pcw,cerebellar cortex,FYN,49.675297
17 pcw,orbital frontal cortex,FYN,41.878176
17 pcw,amygdaloid complex,FYN,32.550254
17 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,35.391003
19 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,19.4723
19 pcw,posteroventral (inferior) parietal cortex,FYN,12.75072
19 pcw,primary motor-sensory cortex (samples),FYN,14.757543
19 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,32.343567
19 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,14.107249
19 pcw,hippocampus (hippocampal formation),FYN,31.894128
19 pcw,primary auditory cortex (core),FYN,19.613034
19 pcw,mediodorsal nucleus of thalamus,FYN,36.279037
19 pcw,ventrolateral prefrontal cortex,FYN,27.696086
19 pcw,striatum,FYN,34.502253
19 pcw,dorsolateral prefrontal cortex,FYN,34.00725
21 pcw,cerebellar cortex,FYN,38.529413
21 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,27.375991
21 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,34.763946
21 pcw,"primary motor cortex (area M1, area 4)",FYN,41.011531
21 pcw,striatum,FYN,39.728437
21 pcw,hippocampus (hippocampal formation),FYN,43.782952
21 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,32.033394
21 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,36.634728
21 pcw,amygdaloid complex,FYN,36.806948
21 pcw,ventrolateral prefrontal cortex,FYN,40.171128
21 pcw,orbital frontal cortex,FYN,34.863591
21 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,31.438926
21 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,39.874218
21 pcw,cerebellar cortex,FYN,52.796459
21 pcw,posteroventral (inferior) parietal cortex,FYN,36.95662
21 pcw,dorsolateral prefrontal cortex,FYN,34.983872
24 pcw,hippocampus (hippocampal formation),FYN,36.281864
24 pcw,amygdaloid complex,FYN,44.618794
24 pcw,dorsolateral prefrontal cortex,FYN,37.161466
24 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,30.284248
24 pcw,mediodorsal nucleus of thalamus,FYN,43.159604
24 pcw,striatum,FYN,34.968368
24 pcw,primary auditory cortex (core),FYN,29.960293
24 pcw,posteroventral (inferior) parietal cortex,FYN,29.275815
24 pcw,orbital frontal cortex,FYN,39.379167
24 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,30.751011
24 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,29.663043
24 pcw,ventrolateral prefrontal cortex,FYN,37.977419
24 pcw,"primary motor cortex (area M1, area 4)",FYN,30.984806
24 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,40.753107
24 pcw,cerebellar cortex,FYN,48.333066
24 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,36.611332
25 pcw,primary auditory cortex (core),FYN,38.237789
26 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,32.923062
26 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,26.974418
26 pcw,dorsolateral prefrontal cortex,FYN,32.760057
35 pcw,cerebellar cortex,FYN,43.628858
35 pcw,ventrolateral prefrontal cortex,FYN,32.084077
37 pcw,primary auditory cortex (core),FYN,32.710273
37 pcw,orbital frontal cortex,FYN,32.606674
37 pcw,amygdaloid complex,FYN,39.059715
37 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,27.167572
37 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,31.874705
37 pcw,mediodorsal nucleus of thalamus,FYN,34.698137
37 pcw,cerebellar cortex,FYN,38.72071
37 pcw,striatum,FYN,34.523113
37 pcw,posteroventral (inferior) parietal cortex,FYN,32.355054
37 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,30.445615
37 pcw,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,31.096559
37 pcw,dorsolateral prefrontal cortex,FYN,31.400495
37 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,28.346794
37 pcw,"primary motor cortex (area M1, area 4)",FYN,31.169803
37 pcw,ventrolateral prefrontal cortex,FYN,30.086033
37 pcw,hippocampus (hippocampal formation),FYN,40.638748
4 mos,posterior (caudal) superior temporal cortex (area 22c),FYN,23.609256
4 mos,striatum,FYN,16.270295
4 mos,"primary visual cortex (striate cortex, area V1/17)",FYN,22.939586
4 mos,cerebellar cortex,FYN,27.035418
4 mos,hippocampus (hippocampal formation),FYN,25.567016
4 mos,mediodorsal nucleus of thalamus,FYN,23.574257
4 mos,"inferolateral temporal cortex (area TEv, area 20)",FYN,24.024806
4 mos,amygdaloid complex,FYN,29.633243
4 mos,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,26.794427
4 mos,"primary motor cortex (area M1, area 4)",FYN,46.754636
4 mos,dorsolateral prefrontal cortex,FYN,35.190867
4 mos,orbital frontal cortex,FYN,45.071215
4 mos,primary auditory cortex (core),FYN,38.226088
4 mos,posterior (caudal) superior temporal cortex (area 22c),FYN,38.395846
4 mos,ventrolateral prefrontal cortex,FYN,43.820215
4 mos,"inferolateral temporal cortex (area TEv, area 20)",FYN,31.693408
4 mos,amygdaloid complex,FYN,53.020596
4 mos,"primary motor cortex (area M1, area 4)",FYN,22.838137
4 mos,mediodorsal nucleus of thalamus,FYN,21.944267
4 mos,orbital frontal cortex,FYN,16.973453
4 mos,striatum,FYN,34.173647
4 mos,posterior (caudal) superior temporal cortex (area 22c),FYN,23.000037
4 mos,primary auditory cortex (core),FYN,25.852103
4 mos,hippocampus (hippocampal formation),FYN,46.134379
4 mos,amygdaloid complex,FYN,30.375902
4 mos,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,23.27335
4 mos,"primary visual cortex (striate cortex, area V1/17)",FYN,21.253873
4 mos,"inferolateral temporal cortex (area TEv, area 20)",FYN,19.899059
4 mos,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,21.122383
4 mos,posteroventral (inferior) parietal cortex,FYN,21.341742
4 mos,cerebellar cortex,FYN,28.766877
4 mos,dorsolateral prefrontal cortex,FYN,23.939701
4 mos,ventrolateral prefrontal cortex,FYN,23.338462
10 mos,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,12.993202
10 mos,posteroventral (inferior) parietal cortex,FYN,16.567982
10 mos,posterior (caudal) superior temporal cortex (area 22c),FYN,20.041409
10 mos,dorsolateral prefrontal cortex,FYN,15.573259
10 mos,orbital frontal cortex,FYN,19.846758
10 mos,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,20.094876
10 mos,cerebellar cortex,FYN,23.818241
10 mos,"inferolateral temporal cortex (area TEv, area 20)",FYN,18.46953
10 mos,mediodorsal nucleus of thalamus,FYN,21.695529
10 mos,"primary visual cortex (striate cortex, area V1/17)",FYN,17.616353
1 yrs,amygdaloid complex,FYN,24.676428
1 yrs,"primary motor cortex (area M1, area 4)",FYN,16.566127
1 yrs,dorsolateral prefrontal cortex,FYN,18.752457
1 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,20.969573
1 yrs,"primary visual cortex (striate cortex, area V1/17)",FYN,18.796044
1 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,20.346891
1 yrs,orbital frontal cortex,FYN,22.264547
1 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,22.103249
1 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,18.6949
1 yrs,ventrolateral prefrontal cortex,FYN,20.353272
1 yrs,cerebellar cortex,FYN,25.81161
1 yrs,primary auditory cortex (core),FYN,18.717004
1 yrs,mediodorsal nucleus of thalamus,FYN,24.278821
1 yrs,hippocampus (hippocampal formation),FYN,21.866409
1 yrs,posteroventral (inferior) parietal cortex,FYN,21.888745
1 yrs,striatum,FYN,21.12943
2 yrs,ventrolateral prefrontal cortex,FYN,23.767688
2 yrs,posteroventral (inferior) parietal cortex,FYN,21.021992
2 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,25.789416
2 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,20.519815
2 yrs,mediodorsal nucleus of thalamus,FYN,20.203083
2 yrs,dorsolateral prefrontal cortex,FYN,28.541914
2 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,15.265824
2 yrs,cerebellar cortex,FYN,13.897765
2 yrs,hippocampus (hippocampal formation),FYN,20.243276
2 yrs,orbital frontal cortex,FYN,11.606691
2 yrs,"primary visual cortex (striate cortex, area V1/17)",FYN,16.423342
2 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,21.957577
3 yrs,striatum,FYN,23.424962
3 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,26.362215
3 yrs,posteroventral (inferior) parietal cortex,FYN,23.602558
3 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,31.439872
3 yrs,cerebellar cortex,FYN,18.963802
3 yrs,amygdaloid complex,FYN,26.885006
3 yrs,ventrolateral prefrontal cortex,FYN,24.907647
3 yrs,"primary motor cortex (area M1, area 4)",FYN,29.958047
3 yrs,primary auditory cortex (core),FYN,23.325589
3 yrs,mediodorsal nucleus of thalamus,FYN,25.779785
3 yrs,"primary visual cortex (striate cortex, area V1/17)",FYN,28.944605
3 yrs,orbital frontal cortex,FYN,32.866149
3 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,35.040866
3 yrs,"primary motor cortex (area M1, area 4)",FYN,39.166055
3 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,35.582254
3 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,40.057141
3 yrs,posteroventral (inferior) parietal cortex,FYN,36.142207
3 yrs,primary auditory cortex (core),FYN,30.990105
3 yrs,cerebellar cortex,FYN,24.050975
3 yrs,"primary visual cortex (striate cortex, area V1/17)",FYN,26.974292
3 yrs,amygdaloid complex,FYN,32.760133
3 yrs,ventrolateral prefrontal cortex,FYN,30.383087
3 yrs,dorsolateral prefrontal cortex,FYN,26.287283
3 yrs,hippocampus (hippocampal formation),FYN,26.609032
3 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,38.23775
4 yrs,amygdaloid complex,FYN,13.927275
4 yrs,striatum,FYN,14.700188
4 yrs,ventrolateral prefrontal cortex,FYN,12.302204
4 yrs,dorsolateral prefrontal cortex,FYN,7.455122
4 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,9.073158
4 yrs,cerebellar cortex,FYN,20.335402
4 yrs,mediodorsal nucleus of thalamus,FYN,19.624898
8 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,18.581993
8 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,11.016328
8 yrs,posteroventral (inferior) parietal cortex,FYN,15.028889
8 yrs,"primary visual cortex (striate cortex, area V1/17)",FYN,16.020796
8 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,15.343162
8 yrs,mediodorsal nucleus of thalamus,FYN,22.720787
8 yrs,ventrolateral prefrontal cortex,FYN,18.786302
8 yrs,hippocampus (hippocampal formation),FYN,20.984721
8 yrs,amygdaloid complex,FYN,24.982758
8 yrs,"primary motor cortex (area M1, area 4)",FYN,11.561108
8 yrs,cerebellar cortex,FYN,16.252678
8 yrs,dorsolateral prefrontal cortex,FYN,22.380737
8 yrs,striatum,FYN,16.147244
8 yrs,primary auditory cortex (core),FYN,14.011887
8 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,17.496052
8 yrs,orbital frontal cortex,FYN,19.839659
8 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,11.614413
8 yrs,cerebellar cortex,FYN,32.34734
8 yrs,primary auditory cortex (core),FYN,28.761338
8 yrs,ventrolateral prefrontal cortex,FYN,16.545867
8 yrs,hippocampus (hippocampal formation),FYN,19.27592
8 yrs,amygdaloid complex,FYN,27.998877
8 yrs,"primary visual cortex (striate cortex, area V1/17)",FYN,17.24524
8 yrs,posteroventral (inferior) parietal cortex,FYN,22.81606
8 yrs,dorsolateral prefrontal cortex,FYN,11.393841
8 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,20.393968
8 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,21.875841
11 yrs,ventrolateral prefrontal cortex,FYN,14.886804
11 yrs,posteroventral (inferior) parietal cortex,FYN,13.593513
11 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,11.700705
11 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,12.053756
11 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,15.294529
11 yrs,dorsolateral prefrontal cortex,FYN,15.060995
11 yrs,amygdaloid complex,FYN,21.638432
11 yrs,"primary visual cortex (striate cortex, area V1/17)",FYN,14.517696
11 yrs,cerebellar cortex,FYN,22.058843
11 yrs,primary auditory cortex (core),FYN,16.929885
11 yrs,hippocampus (hippocampal formation),FYN,11.124221
11 yrs,"primary motor cortex (area M1, area 4)",FYN,15.403212
11 yrs,orbital frontal cortex,FYN,16.656975
11 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,18.431112
13 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,21.197936
13 yrs,posteroventral (inferior) parietal cortex,FYN,18.035114
13 yrs,ventrolateral prefrontal cortex,FYN,21.065743
13 yrs,primary auditory cortex (core),FYN,19.640192
13 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,20.165777
13 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,21.898405
13 yrs,cerebellar cortex,FYN,20.911029
13 yrs,"primary visual cortex (striate cortex, area V1/17)",FYN,18.401597
13 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,17.960252
13 yrs,dorsolateral prefrontal cortex,FYN,18.328955
13 yrs,orbital frontal cortex,FYN,19.715551
13 yrs,mediodorsal nucleus of thalamus,FYN,20.835506
13 yrs,amygdaloid complex,FYN,22.930501
13 yrs,"primary motor cortex (area M1, area 4)",FYN,18.288862
13 yrs,hippocampus (hippocampal formation),FYN,24.105045
13 yrs,striatum,FYN,19.085618
15 yrs,posteroventral (inferior) parietal cortex,FYN,17.825264
15 yrs,cerebellar cortex,FYN,18.517246
15 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,18.232021
15 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,19.079107
15 yrs,amygdaloid complex,FYN,24.869011
18 yrs,hippocampus (hippocampal formation),FYN,18.813876
18 yrs,"primary motor cortex (area M1, area 4)",FYN,20.759696
18 yrs,"primary visual cortex (striate cortex, area V1/17)",FYN,28.575269
18 yrs,primary auditory cortex (core),FYN,23.164189
18 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,27.688983
18 yrs,ventrolateral prefrontal cortex,FYN,26.806076
18 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,25.525962
18 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,22.077589
18 yrs,dorsolateral prefrontal cortex,FYN,29.397545
18 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,19.336009
18 yrs,posteroventral (inferior) parietal cortex,FYN,27.802936
18 yrs,orbital frontal cortex,FYN,25.7088
18 yrs,cerebellar cortex,FYN,16.347601
19 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,17.961815
19 yrs,cerebellar cortex,FYN,18.770579
19 yrs,dorsolateral prefrontal cortex,FYN,20.292371
19 yrs,amygdaloid complex,FYN,23.065571
19 yrs,orbital frontal cortex,FYN,20.461746
19 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,19.419967
19 yrs,striatum,FYN,19.536136
19 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,17.656747
19 yrs,"primary motor cortex (area M1, area 4)",FYN,17.643733
19 yrs,hippocampus (hippocampal formation),FYN,21.142206
19 yrs,primary auditory cortex (core),FYN,17.655066
19 yrs,"primary visual cortex (striate cortex, area V1/17)",FYN,14.822674
19 yrs,posteroventral (inferior) parietal cortex,FYN,18.690321
19 yrs,ventrolateral prefrontal cortex,FYN,17.897373
19 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,19.192877
19 yrs,mediodorsal nucleus of thalamus,FYN,15.757699
21 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,16.558669
21 yrs,"primary motor cortex (area M1, area 4)",FYN,14.864286
21 yrs,primary auditory cortex (core),FYN,15.233376
21 yrs,dorsolateral prefrontal cortex,FYN,19.987879
21 yrs,amygdaloid complex,FYN,16.516736
21 yrs,mediodorsal nucleus of thalamus,FYN,12.568691
21 yrs,"primary visual cortex (striate cortex, area V1/17)",FYN,15.098869
21 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,17.249957
21 yrs,ventrolateral prefrontal cortex,FYN,14.173102
21 yrs,cerebellar cortex,FYN,18.239025
21 yrs,"primary somatosensory cortex (area S1, areas 3,1,2)",FYN,14.368927
21 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,16.1287
21 yrs,posteroventral (inferior) parietal cortex,FYN,14.98872
21 yrs,hippocampus (hippocampal formation),FYN,23.442451
21 yrs,striatum,FYN,17.906251
21 yrs,orbital frontal cortex,FYN,17.223925
23 yrs,"inferolateral temporal cortex (area TEv, area 20)",FYN,24.244141
23 yrs,amygdaloid complex,FYN,25.795946
23 yrs,orbital frontal cortex,FYN,21.184951
23 yrs,mediodorsal nucleus of thalamus,FYN,21.162263
23 yrs,posterior (caudal) superior temporal cortex (area 22c),FYN,20.865912
23 yrs,ventrolateral prefrontal cortex,FYN,21.839489
23 yrs,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,20.87643
